Wikidata label,wikidata ID,Project Gutenberg ID,Project Gutenberg title,
The Charterhouse of Parma,Q1165714,796,La Chartreuse De Parme,
The Red and the Black,Q192649,798,Le Rouge et le noir: chronique du XIXe siècle,
A Sentimental Journey Through France and Italy,Q768792,804,A Sentimental Journey Through France and Italy,
This Side of Paradise,Q2581681,805,This Side of Paradise,
Doktor Faust und Mephisto,Q16201199,811,The Tragical History of Doctor Faustus\•From the Quarto of 1616,
Democracy in America,Q784882,815,Democracy in America — Volume 1,
Democracy in America,Q784882,816,Democracy in America — Volume 2,
Dombey and Son,Q963659,821,Dombey and Son,
Gulliver's Travels,Q181488,829,Gulliver's Travels into Several Remote Nations of the World,
Erec and Enide,Q1349671,831,Four Arthurian Romances,
"Lancelot, the Knight of the Cart",Q520372,831,Four Arthurian Romances,
"Yvain, the Knight of the Lion",Q1928169,831,Four Arthurian Romances,
The Theory of the Leisure Class,Q1265755,833,The Theory of the Leisure Class,
The Memoirs of Sherlock Holmes,Q860831,834,The Memoirs of Sherlock Holmes,
The Phoenix and the Carpet,Q3795974,836,The Phoenix and the Carpet,
The Story of the Amulet,Q7766831,837,The Story of the Amulet,
New Arabian Nights,Q3234271,839,?,
Lorna Doone,Q3400981,840,Lorna Doone: A Romance of Exmoor,
Idle Thoughts of an Idle Fellow,Q997511,849,The Idle Thoughts of an Idle Fellow,
A Woman of No Importance,Q203585,854,?,
The Mysterious Affair at Styles,Q472228,863,The Mysterious Affair at Styles,
The Master of Ballantrae,Q2615930,864,The Master of Ballantrae: A Winter's Tale,
Life in the Iron Mills,Q6545189,876,"Life in the Iron-Mills; Or, The Korl Woman",
Our Mutual Friend,Q1557935,883,Our Mutual Friend,
The Rose and the Ring,Q7761552,897,The Rose and the Ring,
The White Company,Q2297190,903,The White Company,
White Fang,Q152267,910,White Fang,
A Hero of Our Time,Q1304649,913,A Hero of Our Time,
The Uncommercial Traveller,Q7771322,914,?,
Barnaby Rudge,Q2362527,917,Barnaby Rudge: A Tale of the Riots of 'Eighty,
The Fall of the House of Usher,Q1197735,932,The Fall of the House of Usher,
The Last of the Mohicans,Q493574,940,The Last of the Mohicans; A narrative of 1757,
